item_id,name,producer,country,region,vintage,kind,price_brl,price_usd
178,Cava Juvé & Camps Cinta Purpura Reserva Brut - 375ml (Half Bottle),Juvé & Camps,Spain,Penedès,0,sparkling,52.8,9.13
179,Arinzano ‘Hacienda’ Vino de Pago Blanco,Arinzano,Spain,Navarra,2018,white,139.2,24.08
180,Arinzano ‘Gran Vino’ Vino de Pago Blanco,Arinzano,Spain,Navarra,2016,white,549.0,94.98
181,Arinzano ‘Hacienda’ Vino de Pago Tinto,Arinzano,Spain,Navarra,2017,red,149.4,25.85
182,Arinzano ‘Gran Vino’ Vino de Pago Tinto,Arinzano,Spain,Navarra,2014,red,699.0,120.93
183,Olivier Riviere La Bastid,Olivier Riviere,Spain,Rioja,2018,white,249.0,43.08
184,Olivier Riviere Rayos Uva,Olivier Riviere,Spain,Rioja,2017,red,149.4,25.85
185,Olivier Riviere Rayos Uva,Olivier Riviere,Spain,Rioja,2018,red,149.4,25.85
186,Olivier Riviere Gabaxo,Olivier Riviere,Spain,Rioja,2018,red,199.2,34.46
187,Olivier Riviere Ganko,Olivier Riviere,Spain,Rioja,2016,red,439.2,75.99
188,Olivier Riviere Ganko,Olivier Riviere,Spain,Rioja,2017,red,439.2,75.99
189,Olivier Riviere Las Viñas de Eusebio,Olivier Riviere,Spain,Rioja,2016,red,559.2,96.75
190,Olivier Riviere Pozo Alto,Olivier Riviere,Spain,Rioja,2016,red,1290.0,223.18
191,Aalto,Aalto,Spain,Ribera del Duero,2018,red,429.0,74.22
192,Aalto - 1.5L (Magnum),Aalto,Spain,Ribera del Duero,2018,red,939.0,162.46
193,Aalto - 3.0L (Double Magnum),Aalto,Spain,Ribera del Duero,2018,red,2094.0,362.28
194,Aalto PS - 1.5L (Magnum),Aalto,Spain,Ribera del Duero,2018,red,2154.0,372.66
195,Aalto PS  - 3.0L (Double Magnum),Aalto,Spain,Ribera del Duero,2018,red,4992.0,863.67
196,Luis Seabra Xisto Ilimitado Branco,Luis Seabra Vinhos,Portugal,Douro,2019,white,135.0,23.36
197,Luis Seabra Xisto Cru Branco,Luis Seabra Vinhos,Portugal,Douro,2018,white,399.4,69.1
198,Luis Seabra Xisto Ilimitado Tinto,Luis Seabra Vinhos,Portugal,Douro,2018,red,135.0,23.36
199,Luis Seabra Indie Xisto,Luis Seabra Vinhos,Portugal,Douro,2018,red,255.0,44.12
200,Luis Seabra Mono C Castelão,Luis Seabra Vinhos,Portugal,Douro,2017,red,249.6,43.18
201,Grau Baumé Branco,Grau Baumé,Portugal,Douro,2017,white,199.2,34.46
202,Grau Baumé Tinto,Grau Baumé,Portugal,Douro,2016,red,319.8,55.33
203,Pêra-Grave Branco,Pêra-Grave,Portugal,Alentejo,2019,white,99.6,17.23
204,Pêra-Grave,Pêra-Grave,Portugal,Alentejo,2017,red,145.8,25.22
205,Pêra-Grave - 1.5L (Magnum),Pêra-Grave,Portugal,Alentejo,2016,red,299.4,51.8
206,Pêra-Grave Reserva,Pêra-Grave,Portugal,Alentejo,2016,red,289.2,50.03
207,Pêra-Grave Reserva,Pêra-Grave,Portugal,Alentejo,2017,red,289.2,50.03
208,Pêra-Grave Reserva - 1.5L (Magnum),Pêra-Grave,Portugal,Alentejo,2015,red,599.4,103.7
209,Pêra-Grave Reserva - 1.5L (Magnum),Pêra-Grave,Portugal,Alentejo,2016,red,599.4,103.7
210,Pêra-Grave Grande Reserva,Pêra-Grave,Portugal,Alentejo,2016,red,669.0,115.74
211,Viñedo Chadwick,Viñedo Chadwick,Chile,Maipo,2017,red,3594.0,621.8
212,Achaval-Ferrer Malbec,Achaval Ferrer,Argentina,Mendoza,2018,red,135.0,23.36
213,Achaval-Ferrer Cabernet Sauvignon,Achaval Ferrer,Argentina,Mendoza,2017,red,139.8,24.19
214,Achaval-Ferrer Cabernet Franc,Achaval Ferrer,Argentina,Mendoza,2017,red,139.8,24.19
215,Achaval-Ferrer Quimera,Achaval Ferrer,Argentina,Mendoza,2015,red,235.2,40.69
216,Achaval-Ferrer Finca Altamira,Achaval Ferrer,Argentina,Mendoza,2014,red,699.0,120.93
217,Achaval-Ferrer Finca Bella Vista,Achaval Ferrer,Argentina,Mendoza,2014,red,539.4,93.32
218,Achaval-Ferrer Finca Mirador,Achaval Ferrer,Argentina,Mendoza,2014,red,599.4,103.7
219,Achaval-Ferrer Blend De Fincas Edição Limitada,Achaval Ferrer,Argentina,Mendoza,2014,red,999.0,172.84
